benchmark,language,year,score,score_label,method,metric,metric_direction,source,notes
WLASL test,American Sign Language,2023,58.73,Top-1 quality,SAM-SLR,Top-1 Accuracy,higher_is_better,https://www.wizwand.com/sota/sign-language-recognition-on-wlasl-test,Public benchmark table; ASL isolated recognition.
WLASL test,American Sign Language,2025,66.82,Top-1 quality,Multi-dataset co-training,Top-1 Accuracy,higher_is_better,https://www.wizwand.com/sota/sign-language-recognition-on-wlasl-test,Public benchmark table; ASL isolated recognition.
WLASL-100,American Sign Language,2025,86.50,Top-1 quality,Siformer,Top-1 Accuracy,higher_is_better,https://www.wizwand.com/sota/sign-language-recognition-on-wlasl-1-0-test,WLASL 1.0/100-class skeleton/RGB benchmark table.
WLASL-100,American Sign Language,2026,88.37,Top-1 quality,PHONSSM,Top-1 Accuracy,higher_is_better,https://www.wizwand.com/sota/sign-language-recognition-on-wlasl-100,Public benchmark table; WLASL-100.
AUTSL,Turkish Sign Language,2023,98.56,Recognition quality,Ryumin et al. STF+LSTM,Gesture recognition rate,higher_is_better,https://www.mdpi.com/1424-8220/23/4/2284,Published Sensors 2023 result on AUTSL.
AUTSL,Turkish Sign Language,2025,98.07,Top-1 quality,VideoMAE foundation model,Acc@1,higher_is_better,https://www.researchgate.net/publication/397086085_From_Data_to_Signs_A_Foundation_Model_for_Multilingual_Sign_Language_Recognition,IEEE Access accepted author version; Table 6.
Slovo,Russian Sign Language,2023,64.09,Mean quality,mVITv2-S,Mean Accuracy,higher_is_better,https://hyper.ai/en/sota/tasks/sign-language-recognition/benchmark/sign-language-recognition-on-slovo-russian,Public benchmark table for Slovo.
Slovo,Russian Sign Language,2025,78.94,Top-1 quality,VideoMAE foundation model,Acc@1,higher_is_better,https://www.researchgate.net/publication/397086085_From_Data_to_Signs_A_Foundation_Model_for_Multilingual_Sign_Language_Recognition,IEEE Access accepted author version; Table 6.
VSL words,Vietnamese Sign Language,2025,95.30,Accuracy,CrossViViT,Accuracy,higher_is_better,https://link.springer.com/article/10.1007/s10791-025-09669-0,VSL dataset with 50 gestures and 8510 videos; article text reports 95.3 overall performance.
VSL static,Vietnamese Sign Language,2026,92.00,Accuracy,CNN + MediaPipe landmarks,Accuracy,higher_is_better,https://publications.eai.eu/index.php/ismla/article/view/11690,Custom VSL static signs in 2026 paper; not directly comparable to VSL words.
VSL dynamic,Vietnamese Sign Language,2026,88.40,Accuracy,LSTM + MediaPipe landmarks,Accuracy,higher_is_better,https://publications.eai.eu/index.php/ismla/article/view/11690,Custom VSL dynamic phrases in 2026 paper; not directly comparable to VSL words.
Multilingual 20-class,Turkish/Arabic/American Sign Languages,2026,98.94,Test quality,TinyMSLR,Test Accuracy,higher_is_better,https://www.nature.com/articles/s41598-026-38478-8,Aligned 20-class multilingual benchmark in Scientific Reports 2026.
PHOENIX14 test,German Sign Language,2023,80.60,100 - WER,CorrNet,WER,lower_is_better,https://www.wizwand.com/sota/continuous-sign-language-recognition-on-phoenix14-test,WER 19.4 converted to quality score 80.6.
PHOENIX14 test,German Sign Language,2025,82.40,100 - WER,USTMsmall,WER,lower_is_better,https://www.wizwand.com/sota/continuous-sign-language-recognition-on-phoenix14-test,WER 17.6 converted to quality score 82.4.
KArSL-100 signer-dependent,Arabic Sign Language,2024,99.74,Accuracy,Pose Transformer with hand and face keypoints,Accuracy,higher_is_better,https://pure.kfupm.edu.sa/en/publications/isolated-arabic-sign-language-recognition-using-a-transformer-bas/,Signer-dependent mode on KArSL-100.
KArSL-100 signer-independent,Arabic Sign Language,2024,68.20,Accuracy,Pose Transformer with hand and face keypoints,Accuracy,higher_is_better,https://pure.kfupm.edu.sa/en/publications/isolated-arabic-sign-language-recognition-using-a-transformer-bas/,Signer-independent mode on KArSL-100.
LSA64 signer-dependent,Argentinian Sign Language,2024,98.25,Accuracy,Pose Transformer with hand and face keypoints,Accuracy,higher_is_better,https://pure.kfupm.edu.sa/en/publications/isolated-arabic-sign-language-recognition-using-a-transformer-bas/,Signer-dependent mode on LSA64.
